,,"Transaction_Date_&_Time,Transaction_Value,Remarks,Transaction_Type,Age,Gender,Occupation,Industry"
Test1,0,"2/29/2020 2:56,53460,Car Installment,Duitnow,46,Male,Land/geomatics surveyor,Construction"
Test1,1,"2/14/2020 23:04,67408,House Installment,IBG,67,Female,Product designer,Tourism"
Test1,2,"5/10/2020 16:53,35398,Transaction,Instant Transfer,46,Female,""Designer, graphic"",Transport Network"
Test1,3,"1/17/2020 18:07,81402,Credit Card Installment,Instant Transfer,26,Male,Special effects artist,Automotive"
Test1,4,"2/23/2020 5:49,26955,Credit Card Installment,Duitnow,93,Female,""Optician, dispensing"",Construction"
Test1,5,"4/3/2020 17:56,8924,Utility,Instant Transfer,63,Male,Social worker,Medical Tourism"
Test1,6,"2/15/2020 8:42,45801,Car Installment,Duitnow,55,Male,Bonds trader,Automotive"
Test1,7,"1/16/2020 10:46,75170,Utility,Instant Transfer,27,Female,""Scientist, biomedical"",Tourism"
Test1,8,"4/15/2020 10:20,44913,Credit Card Installment,Instant Transfer,32,Male,""Designer, furniture"",Transport Network"
Test1,9,"4/15/2020 4:31,57370,Utility,Instant Transfer,43,Female,Science writer,Medical Tourism"
Test1,10,"2/18/2020 1:29,79882,Car Installment,Instant Transfer,84,Male,Insurance claims handler,Finance & Banking"
Test1,11,"1/17/2020 6:45,13259,Car Installment,IBG,78,Male,""Surveyor, quantity"",Construction"
Test1,12,"3/21/2020 12:47,53667,Car Installment,IBG,22,Male,""Lecturer, further education"",Eletrical & Electronic"
Test1,13,"1/9/2020 14:59,29568,Car Installment,Duitnow,52,Male,Aid worker,Tourism"
Test1,14,"3/2/2020 15:50,22850,Transaction,Duitnow,36,Female,""Scientist, research (life sciences)"",Tourism"
Test1,15,"2/18/2020 20:34,20055,House Installment,Instant Transfer,27,Female,Academic librarian,Eletrical & Electronic"
Test1,16,"1/3/2020 13:30,16331,Car Installment,Instant Transfer,72,Male,Petroleum engineer,Tourism"
Test1,17,"3/28/2020 19:27,26271,House Installment,IBG,42,Female,""Solicitor, Scotland"",Automotive"
Test1,18,"4/24/2020 2:49,74079,Transaction,IBG,26,Female,Holiday representative,Energy"
Test1,19,"3/10/2020 6:42,71805,Transaction,IBG,20,Female,Set designer,Defence"
Test1,20,"3/29/2020 19:24,34267,House Installment,Instant Transfer,54,Female,""Administrator, local government"",Defence"
Test1,21,"3/22/2020 11:29,3747,House Installment,Duitnow,75,Female,Clinical research associate,Transport Network"
Test1,22,"4/5/2020 8:35,36755,Transaction,Instant Transfer,76,Male,Pathologist,Tourism"
Test1,23,"1/20/2020 4:58,38601,Car Installment,Instant Transfer,44,Female,""Production assistant, radio"",Finance & Banking"
Test1,24,"4/24/2020 15:45,12421,Credit Card Installment,Duitnow,32,Female,Politician's assistant,Energy"
Test1,25,"1/24/2020 11:30,17655,Utility,Duitnow,47,Male,""Surveyor, planning and development"",Energy"
Test1,26,"2/16/2020 22:43,72872,Credit Card Installment,Instant Transfer,57,Female,Waste management officer,Defence"
Test1,27,"1/10/2020 7:45,741,Utility,IBG,64,Female,Learning disability nurse,Eletrical & Electronic"
Test1,28,"3/19/2020 15:11,9297,House Installment,Instant Transfer,47,Female,Emergency planning/management officer,Defence"
Test1,29,"1/2/2020 23:29,52797,House Installment,Duitnow,37,Male,Health and safety adviser,Construction"
Test1,30,"4/6/2020 15:01,79293,Car Installment,Instant Transfer,34,Male,Phytotherapist,Defence"
Test1,31,"2/16/2020 14:11,15650,Credit Card Installment,IBG,98,Male,Regulatory affairs officer,Oil and Gas"
Test1,32,"1/29/2020 10:21,38566,Utility,Duitnow,49,Female,""Optician, dispensing"",Medical Tourism"
Test1,33,"5/10/2020 16:54,73663,House Installment,Instant Transfer,51,Female,Public relations account executive,Tourism"
Test1,34,"4/3/2020 1:36,34375,Utility,IBG,31,Male,Plant breeder/geneticist,Construction"
Test1,35,"5/12/2020 4:33,3180,Utility,IBG,31,Male,Hydrologist,Oil and Gas"
Test1,36,"2/28/2020 16:01,41234,Utility,Instant Transfer,74,Female,Quantity surveyor,Construction"
Test1,37,"1/12/2020 6:56,28806,Car Installment,Duitnow,36,Male,""Editor, film/video"",Automotive"
Test1,38,"4/26/2020 9:41,18769,House Installment,IBG,59,Male,Database administrator,Medical Tourism"
Test1,39,"1/12/2020 10:15,37727,Transaction,Duitnow,90,Male,""Research officer, political party"",Automotive"
Test1,40,"1/15/2020 14:22,81246,Credit Card Installment,Instant Transfer,65,Male,""Engineer, mining"",Automotive"
Test1,41,"1/23/2020 9:59,28540,Car Installment,IBG,81,Male,""Scientist, forensic"",Construction"
Test1,42,"3/15/2020 16:41,31599,Car Installment,Duitnow,35,Male,""Scientist, biomedical"",Medical Tourism"
Test1,43,"3/13/2020 4:20,62140,Car Installment,Duitnow,27,Male,""Teacher, adult education"",Tourism"
Test1,44,"3/19/2020 14:55,71274,Credit Card Installment,IBG,44,Male,Marine scientist,Eletrical & Electronic"
Test1,45,"3/4/2020 9:40,68208,Credit Card Installment,IBG,80,Male,Optometrist,Oil and Gas"
Test1,46,"1/27/2020 10:48,4459,Credit Card Installment,IBG,57,Male,Health visitor,Eletrical & Electronic"
Test1,47,"5/10/2020 19:55,61106,Credit Card Installment,Instant Transfer,80,Male,IT technical support officer,Eletrical & Electronic"
Test1,48,"2/18/2020 6:31,22456,Transaction,Instant Transfer,49,Female,""Psychologist, prison and probation services"",Construction"
Test1,49,"4/17/2020 20:38,61430,Transaction,IBG,52,Female,IT trainer,Defence"
Test1,50,"4/21/2020 16:27,5502,Car Installment,IBG,45,Male,Warehouse manager,Transport Network"
Test1,51,"2/25/2020 15:08,63151,Utility,IBG,48,Male,""Engineer, maintenance (IT)"",Tourism"
Test1,52,"2/5/2020 16:56,65511,Utility,Duitnow,90,Male,""Journalist, newspaper"",Eletrical & Electronic"
Test1,53,"4/14/2020 8:51,70846,Credit Card Installment,Duitnow,57,Female,Textile designer,Energy"
Test1,54,"3/13/2020 6:18,15973,Credit Card Installment,Instant Transfer,80,Female,Insurance account manager,Construction"
Test1,55,"4/8/2020 13:57,34141,Transaction,Instant Transfer,95,Male,Theatre stage manager,Finance & Banking"
Test1,56,"5/6/2020 16:32,11663,Credit Card Installment,Instant Transfer,21,Female,""Engineer, building services"",Finance & Banking"
Test1,57,"1/14/2020 19:15,11736,Utility,IBG,42,Female,Cytogeneticist,Defence"
Test1,58,"2/14/2020 1:48,19912,House Installment,Duitnow,18,Female,Housing manager/officer,Transport Network"
Test1,59,"5/6/2020 23:12,6374,Utility,Duitnow,70,Female,Cabin crew,Eletrical & Electronic"
Test1,60,"4/21/2020 15:12,24305,Car Installment,Duitnow,93,Female,""Psychotherapist, dance movement"",Transport Network"
Test1,61,"3/21/2020 3:51,65243,Utility,IBG,28,Female,Art therapist,Energy"
