Transaction_Date_&_Time,Transaction_Value,Remarks,Transaction_Type,Age,Gender,Occupation,Industry
2/29/2020 2:56,53460,Car Installment,Duitnow,46,Male,Land/geomatics surveyor,Construction
2/14/2020 23:04,67408,House Installment,IBG,67,Female,Product designer,Tourism
5/10/2020 16:53,35398,Transaction,Instant Transfer,46,Female,"Designer, graphic",Transport Network
1/17/2020 18:07,81402,Credit Card Installment,Instant Transfer,26,Male,Special effects artist,Automotive
2/23/2020 5:49,26955,Credit Card Installment,Duitnow,93,Female,"Optician, dispensing",Construction
4/3/2020 17:56,8924,Utility,Instant Transfer,63,Male,Social worker,Medical Tourism
2/15/2020 8:42,45801,Car Installment,Duitnow,55,Male,Bonds trader,Automotive
1/16/2020 10:46,75170,Utility,Instant Transfer,27,Female,"Scientist, biomedical",Tourism
4/15/2020 10:20,44913,Credit Card Installment,Instant Transfer,32,Male,"Designer, furniture",Transport Network
4/15/2020 4:31,57370,Utility,Instant Transfer,43,Female,Science writer,Medical Tourism
2/18/2020 1:29,79882,Car Installment,Instant Transfer,84,Male,Insurance claims handler,Finance & Banking
1/17/2020 6:45,13259,Car Installment,IBG,78,Male,"Surveyor, quantity",Construction
3/21/2020 12:47,53667,Car Installment,IBG,22,Male,"Lecturer, further education",Eletrical & Electronic
1/9/2020 14:59,29568,Car Installment,Duitnow,52,Male,Aid worker,Tourism
3/2/2020 15:50,22850,Transaction,Duitnow,36,Female,"Scientist, research (life sciences)",Tourism
2/18/2020 20:34,20055,House Installment,Instant Transfer,27,Female,Academic librarian,Eletrical & Electronic
1/3/2020 13:30,16331,Car Installment,Instant Transfer,72,Male,Petroleum engineer,Tourism
3/28/2020 19:27,26271,House Installment,IBG,42,Female,"Solicitor, Scotland",Automotive
4/24/2020 2:49,74079,Transaction,IBG,26,Female,Holiday representative,Energy
3/10/2020 6:42,71805,Transaction,IBG,20,Female,Set designer,Defence
3/29/2020 19:24,34267,House Installment,Instant Transfer,54,Female,"Administrator, local government",Defence
3/22/2020 11:29,3747,House Installment,Duitnow,75,Female,Clinical research associate,Transport Network
4/5/2020 8:35,36755,Transaction,Instant Transfer,76,Male,Pathologist,Tourism
1/20/2020 4:58,38601,Car Installment,Instant Transfer,44,Female,"Production assistant, radio",Finance & Banking
4/24/2020 15:45,12421,Credit Card Installment,Duitnow,32,Female,Politician's assistant,Energy
1/24/2020 11:30,17655,Utility,Duitnow,47,Male,"Surveyor, planning and development",Energy
2/16/2020 22:43,72872,Credit Card Installment,Instant Transfer,57,Female,Waste management officer,Defence
1/10/2020 7:45,741,Utility,IBG,64,Female,Learning disability nurse,Eletrical & Electronic
3/19/2020 15:11,9297,House Installment,Instant Transfer,47,Female,Emergency planning/management officer,Defence
