Transaction_Date_&_Time,Transaction_Value,Remarks,Transaction_Type,Age,Gender,Occupation,Industry,Repetitive
1/1/2020 13:17,4742,Transaction,Duitnow,28,Male,"Conservation officer, historic buildings",Finance & Banking,0
1/2/2020 21:35,3057,Transaction,IBG,47,Male,Youth worker,Eletrical & Electronic,0
1/5/2020 6:06,504,Utility,Duitnow,97,Female,Fitness centre manager,Finance & Banking,0
1/5/2020 13:38,327,Credit Card Installment,IBG,69,Male,Chartered accountant,Finance & Banking,0
1/5/2020 19:29,2725,Transaction,Instant Transfer,74,Female,"Teacher, music",Transport Network,0
1/8/2020 5:35,4103,House Installment,Duitnow,25,Female,Landscape architect,Defence,0
1/9/2020 0:19,9150,Transaction,IBG,97,Male,Firefighter,Energy,0
1/9/2020 1:52,3708,House Installment,Duitnow,45,Female,Furniture designer,Medical Tourism,0
1/10/2020 15:26,3411,Transaction,Duitnow,60,Female,"Engineer, petroleum",Medical Tourism,0
1/10/2020 19:58,1499,Car Installment,Duitnow,24,Male,Community arts worker,Energy,0
1/11/2020 22:10,5675,Utility,Instant Transfer,50,Male,Chief Executive Officer,Energy,0
1/12/2020 5:47,7338,Transaction,Duitnow,88,Female,Geoscientist,Eletrical & Electronic,0
1/12/2020 13:09,1545,Utility,Duitnow,97,Male,Training and development officer,Medical Tourism,0
1/13/2020 5:08,831,Car Installment,Duitnow,52,Male,Recruitment consultant,Tourism,0
1/14/2020 7:23,7618,Transaction,IBG,40,Female,Scientific laboratory technician,Energy,0
1/14/2020 7:48,8253,Credit Card Installment,IBG,89,Female,"Surveyor, quantity",Construction,0
1/14/2020 18:51,9303,Credit Card Installment,IBG,74,Male,Heritage manager,Oil and Gas,0
1/15/2020 0:59,9831,Credit Card Installment,Instant Transfer,47,Male,"Education officer, environmental",Tourism,0
1/15/2020 19:00,7657,House Installment,IBG,38,Male,Quarry manager,Eletrical & Electronic,0
1/16/2020 18:39,9324,Transaction,Instant Transfer,58,Male,Chartered legal executive (England and Wales),Energy,0
1/17/2020 5:52,4486,Utility,Duitnow,77,Female,Occupational therapist,Energy,0
1/17/2020 8:22,9596,Transaction,Instant Transfer,37,Male,"Civil engineer, consulting",Oil and Gas,0
1/17/2020 16:51,4324,House Installment,IBG,18,Male,"Presenter, broadcasting",Energy,0
1/17/2020 21:48,210,Utility,Duitnow,63,Male,Herpetologist,Finance & Banking,0
1/21/2020 2:43,9462,Credit Card Installment,IBG,32,Female,Rural practice surveyor,Finance & Banking,0
1/24/2020 6:42,5500,House Installment,IBG,74,Female,Airline pilot,Finance & Banking,0
1/25/2020 5:40,8794,House Installment,IBG,99,Female,Dealer,Energy,0
1/25/2020 22:16,3931,Transaction,Instant Transfer,65,Male,Geophysicist/field seismologist,Transport Network,0
1/26/2020 13:51,8319,Car Installment,IBG,54,Female,Contractor,Defence,0
1/28/2020 20:46,2169,House Installment,Duitnow,79,Male,"Pilot, airline",Construction,0
1/28/2020 21:27,1300,Credit Card Installment,Duitnow,33,Female,Aid worker,Medical Tourism,0
1/29/2020 8:23,4679,Utility,Instant Transfer,42,Female,Banker,Energy,0
1/29/2020 22:13,1403,Transaction,Duitnow,28,Male,Television floor manager,Eletrical & Electronic,0
1/31/2020 7:32,226,House Installment,Duitnow,51,Female,"Psychologist, forensic",Construction,0
1/31/2020 12:01,2414,Transaction,IBG,89,Male,Armed forces operational officer,Finance & Banking,0
1/31/2020 17:44,4118,House Installment,Instant Transfer,62,Male,Health physicist,Defence,0
2/1/2020 9:00,6000,Food,DuitNow,25,Female,Director,Hospitality,1
2/1/2020 18:54,7275,House Installment,IBG,55,Male,Community arts worker,Defence,0
2/2/2020 10:00,8000,Installment,Instant Transfer,25,Male,CEO,Food & Beverage,1
2/3/2020 20:14,9763,Transaction,Instant Transfer,32,Female,"Producer, television/film/video",Finance & Banking,0
2/4/2020 9:18,5263,Credit Card Installment,IBG,18,Male,English as a foreign language teacher,Medical Tourism,0
